timestamp,session_time_sec,action_type_cn,action_type,intensity,distance_px,duration_sec,speed_avg,acceleration,state_before_cn,state_before,state_after_cn,state_after,inside_personal_space
2026-07-26T20:55:36.860833,22.43,轻柔,positive,0.175,759.4,9.97,1.3,0.0,敞开,open,敞开,open,0
2026-07-26T20:55:37.795370,23.36,轻柔,positive,0.114,12.5,0.85,0.2,0.0,敞开,open,敞开,open,0
2026-07-26T20:55:38.745304,24.31,轻柔,positive,0.103,2.4,0.86,0.0,0.0,平静,calm,敞开,open,0
2026-07-26T20:55:45.455269,31.02,轻柔,positive,0.180,419.6,6.55,1.1,0.0,敞开,open,敞开,open,0
2026-07-26T20:58:21.448595,187.01,轻柔,positive,0.171,233.8,3.64,1.1,0.0,敞开,open,敞开,open,0
2026-07-26T20:58:22.472890,188.04,轻柔,positive,0.106,7.3,0.87,0.1,0.0,敞开,open,敞开,open,0
2026-07-26T20:58:23.469565,189.03,轻柔,positive,0.129,25.0,0.87,0.5,0.0,敞开,open,敞开,open,0
2026-07-26T20:58:24.508466,190.07,轻柔,positive,0.113,8.0,0.87,0.2,0.0,敞开,open,敞开,open,0
2026-07-26T20:58:25.477081,191.04,轻柔,positive,0.100,0.0,0.87,0.0,0.0,平静,calm,敞开,open,0
