timestamp,session_time_sec,action_type_cn,action_type,intensity,distance_px,duration_sec,speed_avg,acceleration,state_before_cn,state_before,state_after_cn,state_after,inside_personal_space
2026-07-26T15:34:49.959595,8.20,轻柔,positive,0.245,439.5,6.64,1.1,0.0,敞开,open,敞开,open,0
2026-07-26T15:34:55.068319,13.31,剧烈,negative,1.000,891.8,4.84,3.1,0.0,敞开,open,退缩,withdrawn,0
2026-07-26T15:34:55.319891,13.56,轻柔,positive,0.100,0.0,0.00,0.0,0.0,退缩,withdrawn,敞开,open,0
2026-07-26T15:35:04.953052,23.19,剧烈,negative,1.000,4102.0,9.43,7.2,0.0,敞开,open,退缩,withdrawn,0
2026-07-26T15:35:06.158944,24.40,轻柔,positive,0.100,0.0,0.00,0.0,0.0,退缩,withdrawn,敞开,open,0
2026-07-26T15:35:08.807247,27.04,剧烈,negative,0.772,775.4,2.35,5.5,0.0,退缩,withdrawn,警觉,alert,0
2026-07-26T15:35:14.965939,33.20,轻柔,positive,0.156,188.9,3.28,1.0,0.0,警觉,alert,警觉,alert,1
2026-07-26T15:35:16.083668,34.32,轻柔,positive,0.108,15.6,0.92,0.3,0.0,警觉,alert,警觉,alert,1
2026-07-26T15:35:18.828576,37.07,轻柔,positive,0.129,92.2,2.58,0.6,0.0,警觉,alert,警觉,alert,1
2026-07-26T15:35:19.880385,38.12,轻柔,positive,0.100,0.0,0.89,0.0,0.0,警觉,alert,警觉,alert,1
