timestamp,session_time_sec,action_type_cn,action_type,intensity,distance_px,duration_sec,speed_avg,acceleration,state_before_cn,state_before,state_after_cn,state_after,inside_personal_space
2026-07-26T15:45:35.027243,12.02,剧烈,negative,1.000,2058.8,10.43,3.3,0.0,敞开,open,退缩,withdrawn,0
2026-07-26T15:45:35.995727,12.99,轻柔,positive,0.117,26.8,0.86,0.5,0.0,敞开,open,敞开,open,0
2026-07-26T15:45:37.984436,14.98,轻柔,positive,0.125,66.7,1.89,0.6,0.0,敞开,open,敞开,open,0
2026-07-26T15:45:39.261547,16.26,轻柔,positive,0.127,31.8,1.18,0.4,0.0,敞开,open,敞开,open,0
2026-07-26T15:45:40.542589,17.54,轻柔,positive,0.116,22.7,1.19,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T15:45:41.477798,18.47,轻柔,positive,0.116,22.9,0.84,0.5,0.0,敞开,open,敞开,open,0
2026-07-26T15:45:48.191310,25.19,轻柔,positive,0.143,323.1,6.62,0.8,0.0,警觉,alert,警觉,alert,1
2026-07-26T15:45:49.280639,26.27,轻柔,positive,0.109,15.2,0.93,0.3,0.0,警觉,alert,警觉,alert,1
2026-07-26T15:45:56.360750,33.35,轻柔,positive,0.122,222.6,6.68,0.6,0.0,警觉,alert,警觉,alert,0
2026-07-26T15:45:56.568014,33.56,轻柔,positive,0.100,0.0,0.00,0.0,0.0,平静,calm,敞开,open,0
