timestamp,session_time_sec,action_type_cn,action_type,intensity,distance_px,duration_sec,speed_avg,acceleration,state_before_cn,state_before,state_after_cn,state_after,inside_personal_space
2026-07-26T16:08:55.373977,10.74,轻柔,positive,0.184,461.3,7.02,1.1,0.0,敞开,open,敞开,open,0
2026-07-26T16:09:14.281110,29.65,剧烈,negative,0.966,3117.4,18.52,2.8,0.0,敞开,open,退缩,withdrawn,0
2026-07-26T16:09:22.876533,38.24,轻柔,positive,0.100,0.0,0.24,0.0,0.0,平静,calm,敞开,open,0
2026-07-26T16:09:23.827607,39.19,轻柔,positive,0.100,0.0,0.00,0.0,0.0,敞开,open,敞开,open,0
2026-07-26T16:09:28.376444,43.74,轻柔,positive,0.100,0.0,0.00,0.0,0.0,平静,calm,敞开,open,0
