timestamp,session_time_sec,action_type_cn,action_type,intensity,distance_px,duration_sec,speed_avg,acceleration,state_before_cn,state_before,state_after_cn,state_after,inside_personal_space
2026-07-26T15:25:39.827600,5.88,轻柔,positive,0.143,141.2,3.35,0.7,0.0,敞开,open,敞开,open,0
2026-07-26T15:25:46.908743,12.96,剧烈,negative,1.000,2730.3,6.81,6.7,0.0,退缩,withdrawn,退缩,withdrawn,0
2026-07-26T15:25:54.572644,20.63,轻柔,positive,0.138,138.4,4.44,0.5,0.0,敞开,open,敞开,open,0
2026-07-26T15:25:57.974765,24.03,轻柔,positive,0.122,74.8,3.17,0.4,0.0,警觉,alert,警觉,alert,1
2026-07-26T15:26:15.079482,41.13,轻柔,positive,0.209,1379.6,16.85,1.4,0.0,敞开,open,敞开,open,0
2026-07-26T15:26:21.537512,47.59,剧烈,negative,1.000,2059.9,6.15,5.6,0.0,警觉,alert,退缩,withdrawn,1
2026-07-26T15:26:22.627471,48.68,轻柔,positive,0.102,1.0,0.87,0.0,0.0,退缩,withdrawn,敞开,open,1
2026-07-26T15:26:23.656336,49.71,轻柔,positive,0.100,0.0,0.86,0.0,0.0,警觉,alert,警觉,alert,1
2026-07-26T15:26:24.156394,50.21,轻柔,positive,0.100,0.0,0.00,0.0,0.0,警觉,alert,敞开,open,0
2026-07-26T15:26:26.202412,52.26,轻柔,positive,0.159,139.7,1.78,1.3,0.0,敞开,open,敞开,open,0
2026-07-26T15:26:35.730013,61.78,轻柔,positive,0.182,605.5,5.06,2.0,0.0,敞开,open,敞开,open,0
