timestamp,session_time_sec,action_type_cn,action_type,intensity,distance_px,duration_sec,speed_avg,acceleration,state_before_cn,state_before,state_after_cn,state_after,inside_personal_space
2026-07-26T22:16:33.686579,16.01,轻柔,positive,0.245,967.7,11.62,1.4,0.0,敞开,open,敞开,open,0
2026-07-26T22:16:37.151090,19.48,轻柔,positive,0.128,140.9,3.31,0.7,0.0,敞开,open,敞开,open,0
2026-07-26T22:16:38.164272,20.49,轻柔,positive,0.117,14.0,0.86,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T22:16:39.716707,22.04,轻柔,positive,0.122,26.6,1.46,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T22:16:42.654952,24.98,轻柔,positive,0.139,77.3,2.79,0.5,0.0,敞开,open,敞开,open,0
2026-07-26T22:16:43.613817,25.94,轻柔,positive,0.118,21.3,0.86,0.4,0.0,敞开,open,敞开,open,0
2026-07-26T22:16:44.619051,26.94,轻柔,positive,0.115,19.3,0.86,0.4,0.0,平静,calm,敞开,open,0
2026-07-26T22:16:45.574235,27.90,轻柔,positive,0.112,20.8,0.86,0.4,0.0,敞开,open,敞开,open,0
2026-07-26T22:16:46.530658,28.86,轻柔,positive,0.121,28.0,0.86,0.5,0.0,敞开,open,敞开,open,0
2026-07-26T22:16:47.514031,29.84,轻柔,positive,0.119,17.0,0.89,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T22:16:48.551317,30.88,轻柔,positive,0.118,22.3,0.88,0.4,0.0,敞开,open,敞开,open,0
2026-07-26T22:16:51.264826,33.59,轻柔,positive,0.133,88.3,2.61,0.6,0.0,平静,calm,敞开,open,0
2026-07-26T22:16:52.236408,34.56,轻柔,positive,0.111,10.2,0.88,0.2,0.0,敞开,open,敞开,open,0
2026-07-26T22:16:57.210827,39.54,轻柔,positive,0.137,184.8,4.87,0.6,0.0,敞开,open,敞开,open,0
2026-07-26T22:16:58.473061,40.80,轻柔,positive,0.115,14.4,1.16,0.2,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:00.305435,42.63,轻柔,positive,0.144,62.8,1.74,0.6,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:02.614121,44.94,轻柔,positive,0.131,58.0,2.21,0.4,0.0,平静,calm,敞开,open,0
2026-07-26T22:17:03.543911,45.87,轻柔,positive,0.112,5.1,0.83,0.1,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:04.480364,46.81,轻柔,positive,0.119,19.1,0.83,0.4,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:05.418689,47.74,轻柔,positive,0.100,0.0,0.84,0.0,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:06.374634,48.70,轻柔,positive,0.100,0.0,0.85,0.0,0.0,平静,calm,敞开,open,0
2026-07-26T22:17:07.745229,50.07,轻柔,positive,0.112,12.1,1.27,0.2,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:08.728693,51.05,轻柔,positive,0.100,0.0,0.88,0.0,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:09.710282,52.04,轻柔,positive,0.112,13.7,0.88,0.3,0.0,平静,calm,敞开,open,0
2026-07-26T22:17:10.700758,53.03,轻柔,positive,0.100,0.0,0.88,0.0,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:11.715307,54.04,轻柔,positive,0.102,2.4,0.90,0.0,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:12.744865,55.07,轻柔,positive,0.111,15.8,0.91,0.3,0.0,平静,calm,敞开,open,0
2026-07-26T22:17:13.743450,56.07,轻柔,positive,0.100,0.0,0.89,0.0,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:14.750987,57.08,轻柔,positive,0.100,0.0,0.89,0.0,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:15.766530,58.09,轻柔,positive,0.111,12.5,0.90,0.2,0.0,平静,calm,敞开,open,0
2026-07-26T22:17:16.801129,59.13,轻柔,positive,0.100,0.0,0.92,0.0,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:17.838150,60.16,轻柔,positive,0.112,10.0,0.92,0.2,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:22.426596,64.75,轻柔,positive,0.147,262.1,4.47,1.0,0.0,敞开,open,敞开,open,0
2026-07-26T22:17:23.405026,65.73,轻柔,positive,0.100,0.0,0.85,0.0,0.0,敞开,open,敞开,open,0
