timestamp,session_time_sec,action_type_cn,action_type,intensity,distance_px,duration_sec,speed_avg,acceleration,state_before_cn,state_before,state_after_cn,state_after,inside_personal_space
2026-07-26T21:05:26.747258,0.96,轻柔,positive,0.100,0.0,0.93,0.0,0.0,平静,calm,敞开,open,0
2026-07-26T21:05:29.746128,3.96,轻柔,positive,0.238,292.0,2.84,1.7,0.0,敞开,open,敞开,open,0
2026-07-26T21:05:33.846983,8.06,轻柔,positive,0.142,175.1,4.01,0.7,0.0,敞开,open,敞开,open,0
2026-07-26T21:05:34.806326,9.02,轻柔,positive,0.114,15.1,0.87,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T21:05:45.761475,19.98,轻柔,positive,0.200,981.1,10.70,1.5,0.0,敞开,open,敞开,open,0
2026-07-26T21:05:51.989898,26.21,轻柔,positive,0.117,25.5,1.23,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T21:05:57.499098,31.72,轻柔,positive,0.134,178.1,5.18,0.6,0.0,敞开,open,敞开,open,0
2026-07-26T21:06:06.049035,40.27,轻柔,positive,0.205,284.5,4.22,1.1,0.0,退缩,withdrawn,敞开,open,0
2026-07-26T21:06:57.617505,91.83,轻柔,positive,0.150,305.0,4.08,1.2,0.0,平静,calm,敞开,open,0
2026-07-26T21:07:01.296678,95.51,轻柔,positive,0.166,109.2,1.95,0.9,0.0,敞开,open,敞开,open,0
2026-07-26T21:07:02.240495,96.46,轻柔,positive,0.119,19.2,0.85,0.4,0.0,敞开,open,敞开,open,0
2026-07-26T21:07:03.012116,97.23,轻柔,positive,0.112,15.3,0.52,0.5,0.0,平静,calm,敞开,open,0
2026-07-26T21:07:09.565408,103.78,轻柔,positive,0.100,0.0,0.00,0.0,0.0,平静,calm,敞开,open,0
