timestamp,session_time_sec,action_type_cn,action_type,intensity,distance_px,duration_sec,speed_avg,acceleration,state_before_cn,state_before,state_after_cn,state_after,inside_personal_space
2026-07-26T17:31:40.774538,14.61,剧烈,negative,1.000,4208.7,12.84,5.5,0.0,敞开,open,退缩,withdrawn,0
2026-07-26T17:31:47.668117,21.50,轻柔,positive,0.156,305.1,6.79,0.7,0.0,警觉,alert,警觉,alert,1
2026-07-26T17:31:56.357416,30.19,轻柔,positive,0.221,993.2,8.33,2.0,0.0,退缩,withdrawn,敞开,open,0
2026-07-26T17:32:37.992951,71.83,轻柔,positive,0.155,598.2,8.34,1.2,0.0,敞开,open,敞开,open,0
