timestamp,session_time_sec,action_type_cn,action_type,intensity,distance_px,duration_sec,speed_avg,acceleration,state_before_cn,state_before,state_after_cn,state_after,inside_personal_space
2026-07-26T21:41:53.036042,0.87,轻柔,positive,0.100,0.0,0.83,0.0,0.0,平静,calm,敞开,open,0
2026-07-26T21:41:54.942082,2.77,轻柔,positive,0.172,112.7,1.76,1.1,0.0,敞开,open,敞开,open,0
2026-07-26T21:41:55.887729,3.72,轻柔,positive,0.106,3.2,0.85,0.1,0.0,敞开,open,敞开,open,0
2026-07-26T21:41:56.825193,4.65,轻柔,positive,0.100,0.0,0.85,0.0,0.0,平静,calm,敞开,open,0
2026-07-26T21:41:57.812617,5.64,轻柔,positive,0.114,17.6,0.84,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T21:41:58.724836,6.55,轻柔,positive,0.112,19.3,0.83,0.4,0.0,敞开,open,敞开,open,0
2026-07-26T21:41:59.684272,7.51,轻柔,positive,0.114,16.4,0.86,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:00.627019,8.46,轻柔,positive,0.118,16.4,0.86,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:01.633149,9.46,轻柔,positive,0.100,0.0,0.85,0.0,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:02.589693,10.42,轻柔,positive,0.111,15.5,0.87,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:03.792705,11.62,轻柔,positive,0.113,16.1,1.11,0.2,0.0,平静,calm,敞开,open,0
2026-07-26T21:42:04.717185,12.55,轻柔,positive,0.103,2.0,0.83,0.0,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:05.653005,13.48,轻柔,positive,0.112,10.2,0.84,0.2,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:06.605806,14.43,轻柔,positive,0.107,6.4,0.86,0.1,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:07.606320,15.44,轻柔,positive,0.111,11.0,0.85,0.2,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:08.549270,16.38,轻柔,positive,0.113,13.4,0.86,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:09.489434,17.32,轻柔,positive,0.121,17.1,0.84,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:10.874995,18.70,轻柔,positive,0.117,29.4,1.30,0.4,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:11.887532,19.72,轻柔,positive,0.108,5.1,0.86,0.1,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:12.855657,20.68,轻柔,positive,0.106,7.1,0.88,0.1,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:13.831328,21.66,轻柔,positive,0.113,9.5,0.88,0.2,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:15.134310,22.96,轻柔,positive,0.114,12.2,1.21,0.2,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:16.091707,23.92,轻柔,positive,0.112,17.1,0.86,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:17.807162,25.64,轻柔,positive,0.145,55.0,1.57,0.6,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:18.819010,26.65,轻柔,positive,0.114,16.4,0.86,0.3,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:20.142787,27.97,轻柔,positive,0.122,22.0,1.23,0.3,0.0,平静,calm,敞开,open,0
2026-07-26T21:42:22.430022,30.26,轻柔,positive,0.133,98.8,2.19,0.8,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:23.917123,31.75,轻柔,positive,0.128,55.0,1.39,0.7,0.0,敞开,open,敞开,open,0
2026-07-26T21:42:25.864390,33.69,轻柔,positive,0.119,44.4,1.79,0.4,0.0,敞开,open,敞开,open,0
